# Filter database
# 
# new filters denoted by a leading '>', with the format
#     	      '> [filter_name] [exponent scale] [source]'
# exponent scale denotes units; for example:
# 	   -10 = Anstroms
#	   -9 = Nanometers
#	   -6 = Microns
# any integer (or float) number will cause wavelength to be scaled to 10^[exponent scale]
# source is where the filter information was taken from, put something (or null for no information)

> PACS_100 -10 Null
#       lam (ang)   response
       1145000.0      0.78401224
       1145500.0      0.78373226
       1146000.0      0.78345174
       1146500.0      0.78213254
       1147000.0      0.78039646
       1147500.0      0.77865856
       1148000.0      0.77691886
       1148500.0      0.77517734
       1149000.0      0.77343401
       1149500.0      0.77168887
       1150000.0      0.77119149
       1150500.0      0.77069338
       1151000.0      0.77019455
       1151500.0      0.76969500
       1152000.0      0.76919472
       1152500.0      0.76869371
       1153000.0      0.76819198
       1153500.0      0.76768953
       1154000.0      0.76718635
       1154500.0      0.76668245
       1155000.0      0.76617783
       1155500.0      0.76567248
       1156000.0      0.76516640
       1156500.0      0.76340297
       1157000.0      0.76121867
       1157500.0      0.75924182
       1158000.0      0.75705327
       1158500.0      0.75486254
       1159000.0      0.75287953
       1159500.0      0.75089453
       1160000.0      0.74995789
       1160500.0      0.74902018
       1161000.0      0.74808137
       1161500.0      0.74714148
       1162000.0      0.74620050
       1162500.0      0.74525843
       1163000.0      0.74473651
       1163500.0      0.74442457
       1164000.0      0.74411209
       1164500.0      0.74379907
       1165000.0      0.74348550
       1165500.0      0.74317138
       1166000.0      0.74285673
       1166500.0      0.74148528
       1167000.0      0.73968971
       1167500.0      0.73768089
       1168000.0      0.73567009
       1168500.0      0.73386890
       1169000.0      0.73185419
       1169500.0      0.72983750
       1170000.0      0.72845447
       1170500.0      0.72728195
       1171000.0      0.72610818
       1171500.0      0.72493313
       1172000.0      0.72354457
       1172500.0      0.72236690
       1173000.0      0.72118796
       1173500.0      0.72064530
       1174000.0      0.72031453
       1174500.0      0.71977051
       1175000.0      0.71943856
       1175500.0      0.71910607
       1176000.0      0.71856006
       1176500.0      0.71801333
       1177000.0      0.71576067
       1177500.0      0.71350583
       1178000.0      0.71124883
       1178500.0      0.70877622
       1179000.0      0.70651477
       1179500.0      0.70425116
       1180000.0      0.70198536
